step,epoch,k,train_mse,val_mse,val_l0,dead_frac
300000,1,48,4.305486062051659,0.042976001282466626,47.99993962498743,0.2001953125
310000,1,48,4.207014066479706,0.04275257402720026,47.99997229037442,0.201171875
320000,1,48,4.212018520679273,0.042523512038822375,47.999995088928024,0.2060546875
330000,1,48,4.238697384729346,0.042266551383134454,47.999992430641356,0.20703125
340000,1,48,4.142011902613547,0.04207689032922916,47.99999445814814,0.20703125
350000,1,48,4.191819355581156,0.04189454652564296,47.999960801253216,0.2109375
360000,1,48,4.047175618251302,0.04176205997341338,47.999939805378006,0.2060546875
370000,1,48,4.1022818647225305,0.04153859526627198,47.99996377484595,0.2021484375
380000,1,48,4.098676436115771,0.041417768682769925,47.99996391001307,0.2060546875
390000,1,48,4.0466605562414335,0.041239445614055445,47.99994958266476,0.20703125
400000,1,48,4.022837365151882,0.04111271652448739,47.99971646409697,0.2119140625
410000,1,48,3.9650845762206965,0.040937093715940454,47.99998211288464,0.208984375
420000,1,48,4.0041992036769525,0.0408037721148689,47.99990389598016,0.2138671875
430000,1,48,4.006902875668462,0.040646744744325024,47.99994958238237,0.2099609375
440000,1,48,3.9617299759354676,0.04055567741423362,47.999981842550405,0.2080078125
450000,1,48,3.9531514935370673,0.04041900800533147,47.999973777578994,0.2119140625
460000,1,48,3.9525128112352657,0.04028545915405057,47.99995395286975,0.2119140625
470000,1,48,3.9272133142283736,0.04014814093318412,47.99999657576633,0.208984375
480000,1,48,3.973761376422879,0.04004190502273439,47.99999702632339,0.2080078125
490000,1,48,3.879910415836058,0.0399423430157206,47.9999992791087,0.208984375
500000,1,48,3.943007601275863,0.03984437701374889,47.999999324164406,0.2099609375
510000,1,48,3.923853435880162,0.03977025989262253,47.99999936922011,0.208984375
520000,1,48,3.9368931494843182,0.03965505870686146,47.99999292625413,0.20703125
530000,1,48,3.919969894282923,0.03958434511075322,47.999997566991865,0.20703125
540000,1,48,3.8349897288017063,0.03944270019318478,47.99998044582351,0.20703125
550000,1,48,3.901879814614055,0.039410260164077116,47.99998797012645,0.205078125
560000,1,48,3.897646631129877,0.03931114305831727,47.999997116434805,0.203125
570000,1,48,3.811261435757553,0.039247753207254474,47.99998688878949,0.2060546875
580000,1,48,3.8138318320299844,0.03917301710572222,47.99997882381809,0.2099609375
590000,1,48,3.836459613314094,0.03906632138570776,47.9999680104486,0.205078125
600000,1,48,3.789129773160465,0.03900766771576167,47.99999851316169,0.2080078125
610000,1,48,3.735619133385621,0.038935958295735304,47.99999968461006,0.208984375
620000,1,48,3.8349617234320434,0.038876333587657144,47.999997116434805,0.2080078125
630000,1,48,3.8723599491934038,0.038783173016000975,47.999999188997286,0.20703125
640000,1,48,3.748140777749611,0.03873772601787026,47.99999400759108,0.205078125
650000,1,48,3.71108070801215,0.03865946864166878,47.99999608015356,0.208984375
660000,1,48,3.853611692935262,0.038599656146527245,47.99999954944294,0.2099609375
670000,1,48,3.7957054300353037,0.038541464952969236,47.99999792743751,0.2109375
680000,1,48,3.6989999450463595,0.03847214896377643,47.99999954944294,0.2099609375
690000,1,48,3.7627731185758737,0.038400276894365135,47.99999995494429,0.2119140625
700000,1,48,3.7457360223874545,0.03830951711928948,47.999999324164406,0.216796875
710000,2,48,3.7753619271497803,0.03827742494563508,47.99999990988859,0.2158203125
720000,2,48,3.7377810441793606,0.03825157624098695,47.9999985582174,0.2119140625
730000,2,48,3.6868164582385314,0.038203718382295346,47.99999981977717,0.2109375
740000,2,48,3.7363016920238428,0.03811738231619127,47.999998873607346,0.2138671875
750000,2,48,3.799909650737188,0.03804619736132866,47.99999959449865,0.2109375
760000,2,48,3.6896569507467367,0.03801654828260654,47.999999774721466,0.208984375
770000,2,48,3.7023531196788477,0.03798345342083095,47.99999945933153,0.21484375
780000,2,48,3.712345509510558,0.03792006773094756,47.999999188997286,0.212890625
790000,2,48,3.7540245950711513,0.03787532108286108,47.99998837526154,0.2177734375
800000,2,48,3.669030810546112,0.03784490885225196,47.99999950438723,0.2119140625
810000,2,48,3.7081832632360032,0.03779377734429166,47.99999851316169,0.208984375
820000,2,48,3.707435986621612,0.037788374130918095,47.99999531420656,0.21484375
